task_id,task_type,condition,gold_decision,visible_evidence_unit_ids,missing_required_evidence_unit_ids,required_evidence_units_total,required_evidence_units_visible,evidence_state_reliability,evidence_state_degradation,decision_critical_distortion,decision_stage_decision,audit_passed,audit_detected_issue,audit_supported_decision,escalation_stage_decision,decision_failure,final_failure,undetected_failure,audit_false_assurance,escalation_contamination
P03-T0043,synthetic_administrative_approval,original_evidence,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,approve,True,False,approve,approve,False,False,False,False,False
P03-T0043,synthetic_administrative_approval,missing_policy_rule,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0043,synthetic_administrative_approval,missing_one_required_unit,approve,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0044,synthetic_administrative_approval,original_evidence,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,reject,True,False,reject,reject,False,False,False,False,False
P03-T0044,synthetic_administrative_approval,missing_policy_rule,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0044,synthetic_administrative_approval,missing_one_required_unit,reject,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0045,synthetic_administrative_approval,original_evidence,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,approve,True,False,approve,approve,False,False,False,False,False
P03-T0045,synthetic_administrative_approval,missing_policy_rule,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0045,synthetic_administrative_approval,missing_one_required_unit,approve,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0046,synthetic_administrative_approval,original_evidence,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,reject,True,False,reject,reject,False,False,False,False,False
P03-T0046,synthetic_administrative_approval,missing_policy_rule,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0046,synthetic_administrative_approval,missing_one_required_unit,reject,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0047,synthetic_administrative_approval,original_evidence,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,approve,True,False,approve,approve,False,False,False,False,False
P03-T0047,synthetic_administrative_approval,missing_policy_rule,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0047,synthetic_administrative_approval,missing_one_required_unit,approve,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0048,synthetic_administrative_approval,original_evidence,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,reject,True,False,reject,reject,False,False,False,False,False
P03-T0048,synthetic_administrative_approval,missing_policy_rule,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0048,synthetic_administrative_approval,missing_one_required_unit,reject,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0049,synthetic_administrative_approval,original_evidence,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,approve,True,False,approve,approve,False,False,False,False,False
P03-T0049,synthetic_administrative_approval,missing_policy_rule,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0049,synthetic_administrative_approval,missing_one_required_unit,approve,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0050,synthetic_administrative_approval,original_evidence,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,reject,True,False,reject,reject,False,False,False,False,False
P03-T0050,synthetic_administrative_approval,missing_policy_rule,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0050,synthetic_administrative_approval,missing_one_required_unit,reject,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
